Name	BetweennessCentrality	ClosenessCentrality	Degree	Network
BC004004	0.04754822	0.62782609	162	e9.5_2_GENIE3
Pias3	0.04546112	0.62891986	159	e9.5_2_GENIE3
Ell2	0.07222785	0.66238532	194	e9.5_2_GENIE3
Ets1	0.024803	0.58038585	110	e9.5_2_GENIE3
Rasd1	0.03013943	0.58699187	121	e9.5_2_GENIE3
Txnip	0.02383923	0.5469697	88	e9.5_2_GENIE3
Vegfa	0.01474979	0.52017291	68	e9.5_2_GENIE3
Plagl1	0.03692687	0.58038585	116	e9.5_2_GENIE3
Pias1	0.07848022	0.64120782	182	e9.5_2_GENIE3
Prnp	0.06155317	0.59570957	149	e9.5_2_GENIE3
Rhox12	0.02904563	0.56055901	85	e9.5_2_GENIE3
Tead2	0.01591935	0.55709877	93	e9.5_2_GENIE3
Cbx7	0.02692792	0.57575758	112	e9.5_2_GENIE3
Trip6	0.03061787	0.57120253	108	e9.5_2_GENIE3
Fam83g	0.02117356	0.53800298	59	e9.5_2_GENIE3
Grhl1	0.04229771	0.57945425	112	e9.5_2_GENIE3
Arhgef5	0.01456722	0.54285714	96	e9.5_2_GENIE3
Phf2	0.01453018	0.53560831	79	e9.5_2_GENIE3
Mrtfb	0.03021763	0.55538462	101	e9.5_2_GENIE3
E2f8	0.02689002	0.5623053	107	e9.5_2_GENIE3
5730507C01Rik	0.01633738	0.51867816	87	e9.5_2_GENIE3
Orc2	0.00955248	0.5084507	42	e9.5_2_GENIE3
Sox18	0.02184844	0.57392687	108	e9.5_2_GENIE3
Bhlhe40	0.0379492	0.58508914	131	e9.5_2_GENIE3
Ctdsp1	0.0239501	0.57484076	109	e9.5_2_GENIE3
Egfr	0.05207516	0.51440329	55	e9.5_2_STRING
Itpkb	0.09194677	0.53533191	72	e9.5_2_STRING
Cdh1	0.04157167	0.49212598	41	e9.5_2_STRING
Spp1	0.02515925	0.51229508	57	e9.5_2_STRING
Vegfa	0.04662484	0.54704595	65	e9.5_2_STRING
Qsox1	0.03998856	0.47528517	52	e9.5_2_STRING
Igf2	0.02606647	0.48543689	39	e9.5_2_STRING
App	0.02228021	0.49701789	55	e9.5_2_STRING
Col1a1	0.04676778	0.48543689	52	e9.5_2_STRING
Fn1	0.16839669	0.60386473	105	e9.5_2_STRING
Tgfb1	0.02478155	0.49800797	40	e9.5_2_STRING
Timp1	0.02903199	0.51546392	62	e9.5_2_STRING
Igf1	0.06267788	0.54229935	63	e9.5_2_STRING
Csf1	0.02408974	0.48262548	48	e9.5_2_STRING
Gas6	0.02070769	0.48076923	49	e9.5_2_STRING
Smad5	0.0165423	0.55015674	95	e9.5_3_GENIE3
Mta3	0.01743297	0.53587786	79	e9.5_3_GENIE3
Smad4	0.02137186	0.53506098	89	e9.5_3_GENIE3
Jade1	0.02197119	0.56521739	112	e9.5_3_GENIE3
Dapk3	0.02397718	0.56888169	109	e9.5_3_GENIE3
Tead1	0.09949228	0.61256545	140	e9.5_3_GENIE3
Foxf1	0.04863748	0.57635468	112	e9.5_3_GENIE3
Tead3	0.02330503	0.55362776	98	e9.5_3_GENIE3
Loxl2	0.09174577	0.6416819	169	e9.5_3_GENIE3
Limd1	0.01820165	0.52	77	e9.5_3_GENIE3
Rhox4g	0.01679137	0.53751914	78	e9.5_3_GENIE3
Pcgf5	0.02357742	0.56796117	101	e9.5_3_GENIE3
Rhox6	0.01945735	0.52623688	98	e9.5_3_GENIE3
Ncor2	0.03766033	0.60309278	137	e9.5_3_GENIE3
Rhox9	0.01447553	0.5238806	92	e9.5_3_GENIE3
Hes1	0.01741786	0.51617647	79	e9.5_3_GENIE3
Elmsan1	0.02698401	0.5725938	115	e9.5_3_GENIE3
Cebpb	0.02114544	0.52623688	76	e9.5_3_GENIE3
Gata1	0.02248609	0.52623688	87	e9.5_3_GENIE3
Lhx2	0.01659735	0.53262519	101	e9.5_3_GENIE3
Hexim1	0.02263025	0.55275591	103	e9.5_3_GENIE3
Cdk2	0.03090287	0.57920792	109	e9.5_3_GENIE3
Cbx4	0.02165012	0.55980861	97	e9.5_3_GENIE3
Dpf3	0.0264189	0.5625	102	e9.5_3_GENIE3
Jun	0.02730188	0.56612903	117	e9.5_3_GENIE3
Hsbp1	0.01897123	0.55450237	94	e9.5_3_GENIE3
Rbm15b	0.01730149	0.53506098	75	e9.5_3_GENIE3
Tcf25	0.02046838	0.56340289	113	e9.5_3_GENIE3
Sin3b	0.02247455	0.55714286	92	e9.5_3_GENIE3
Stom	0.07045455	0.32242991	21	e9.5_3_STRING
Olr1	0.08784494	0.31363636	19	e9.5_3_STRING
Cd59a	0.09778952	0.31699847	24	e9.5_3_STRING
Gaa	0.14613656	0.33823529	21	e9.5_3_STRING
Lpcat1	0.12263985	0.30307467	16	e9.5_3_STRING
Lpar3	0.04769314	0.30687023	23	e9.5_4_STRING
Rhoc	0.21558756	0.3513986	33	e9.5_4_STRING
Rhoj	0.04105274	0.3155416	24	e9.5_4_STRING
Rhog	0.09439741	0.32576985	26	e9.5_4_STRING
Pik3r3	0.12241445	0.34125637	23	e9.5_4_STRING
Acta2	0.05274765	0.30316742	19	e9.5_4_STRING
Adcy4	0.24981269	0.34715026	22	e9.5_4_STRING
Gcgr	0.04194422	0.31653543	19	e9.5_4_STRING
Gnas	0.0432121	0.31162791	16	e9.5_4_STRING
Gna12	0.10411991	0.32843137	16	e9.5_4_STRING
